location_name,latitude,longitude,image_url,explanation,tag
五角の井戸,34.16246,132.83784,https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B9_%E4%BA%94%E8%A7%92%E3%81%AE%E4%BA%95%E6%88%B8.png,"五角の井戸は、江戸時代に作られたとされる非常に珍しい形状の井戸です。
その名の通り五角形の形をしており、当時の建築技術の粋が集められた貴重な遺構の一つです。
この井戸は、かつて城下町に住む人々の生活用水として利用されていたと言われており、
地域の歴史と密接に結びついています。

現在でもその美しい石造りの構造が保たれており、井戸の周囲には歴史的な風情が漂っています。
特に春や秋の季節には、周囲の自然と調和した美しい景観が楽しめるため、多くの観光客が訪れます。
また、井戸の水質が非常に良いことでも知られ、かつての城下町の人々にとって
生活に欠かせない存在であったことが感じられます。

井戸の近くには、当時の面影を残す石畳の道や、歴史的な建物が点在しており、
散策しながら地域の歴史を感じることができるスポットとして人気を集めています。
歴史好きの方には特におすすめの場所です。","温泉, 建築, 神社"
六角の井戸,34.16302,132.83804,https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B10_%E5%85%AD%E8%A7%92%E3%81%AE%E4%BA%95%E6%88%B8.png,"六角の井戸は、江戸時代の職人によって作られた独特な六角形の井戸で、
全国的にも非常に珍しい形状をしています。かつては地元の住民の生活用水として利用されており、
その美しい石組みの構造は、当時の高度な建築技術を今に伝えています。

この井戸は、城下町の中心に位置し、多くの人々の交流の場ともなっていました。
そのため、周囲には当時の町並みを彷彿とさせる建物や、小さな庭園が整備されており、
訪れる人々に癒しのひとときを提供しています。

現在では、文化財として保存されており、観光スポットとしても注目を集めています。
特に早朝や夕方の時間帯には、周囲の静けさとともに、歴史の息吹を感じることができるでしょう。
この井戸の近くには、城跡や歴史資料館もあり、より深く地域の歴史を知ることができます。","歴史, 温泉"
お堀端の散歩道,34.1626,132.83927,https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B1_%E6%95%A3%E6%AD%A9%E9%81%93.png,"お堀端の散歩道は、かつて城を囲んでいたお堀沿いに整備された美しい散策路です。
四季折々の風景が楽しめることから、地元の人々や観光客に人気のスポットとなっています。

春には桜が満開になり、ピンク色に染まるお堀の風景は圧巻です。
また、秋には紅葉が美しく映え、歴史的な雰囲気と相まって情緒あふれる景色を楽しむことができます。
夏には青々とした木々が日差しを和らげ、冬には静寂な雰囲気が漂い、
どの季節に訪れても違った魅力を感じることができます。

散策路はお堀沿いにゆるやかに続いており、のんびりと歩きながら風景を楽しむことができます。
途中にはベンチが設置されており、休憩しながら自然を満喫することもできます。
また、お堀の周辺には歴史的な建造物や資料館も点在しており、
歩きながら地域の歴史を学ぶことができるのも魅力の一つです。

歴史と自然が調和したこの散歩道は、心を癒し、穏やかな時間を過ごすのに最適な場所です。
写真撮影にもぴったりのスポットなので、ぜひ訪れてみてください。","グルメ, 自然, 庭園"
和風カサブランカ,34.16199,132.83945,https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B2_%E7%99%BD%E3%81%84%E5%AE%B6.png,"和風カサブランカは、日本の伝統的な建築様式とモダンなデザインを融合させたユニークな建物です。
その名前の通り、白を基調とした美しい外観が特徴で、落ち着いた雰囲気の中で贅沢な時間を過ごすことができます。

建物内には、和の趣を感じさせる美しい庭園が広がり、訪れる人々に癒しの空間を提供しています。
庭園には日本庭園特有の石灯籠や池が配置されており、四季折々の風景を楽しむことができます。
特に春には桜、秋には紅葉が美しく映え、訪れるたびに違った表情を見せてくれます。

また、和風カサブランカでは、伝統的な和食を楽しむこともできます。
地元の新鮮な食材を使用した料理は、味だけでなく見た目にも美しく、訪れる人々を魅了します。
特に季節ごとの特別メニューは、多くの観光客に人気があります。

この場所は、ゆったりとした時間を過ごしたい方や、
日本の伝統美を感じたい方にぴったりのスポットです。
訪れるたびに新たな魅力を発見できる、特別な空間となっています。","神社, 歴史, グルメ"
亀の鬼瓦,34.16196,132.84009,https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B3_%E4%BA%80%E3%81%AE%E9%AC%BC%E7%93%A6.png,"亀の鬼瓦は、江戸時代に城郭建築の一部として使用されていた瓦で、亀の形をした装飾が特徴です。
この鬼瓦は、かつて城の屋根の一部を飾っていたもので、災厄を払うための縁起の良い存在とされていました。

現在では、歴史的遺産として保存されており、多くの観光客がそのユニークなデザインを見に訪れます。
亀の鬼瓦は、その精巧な彫刻と美しいフォルムが特徴で、当時の職人技を間近で感じることができます。

また、この鬼瓦がある場所の周辺には、歴史資料館や城跡があり、
江戸時代の城下町の雰囲気を味わうことができます。
特に歴史に興味がある方にとっては、貴重な資料が多く揃っているため、訪れる価値のあるスポットです。

この亀の鬼瓦を訪れた際には、ぜひその精巧な造形に注目し、
当時の職人たちのこだわりや技術に思いを馳せてみてください。","歴史, グルメ"
控えめなお屋敷,34.16232,132.83977,https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B4_%E6%8E%A7%E3%81%88%E3%82%81%E3%81%AA%E5%B1%8B%E6%95%B7.png,"このスポットは、地域の魅力を存分に感じることができる場所です。
歴史や自然に触れながら、特別な時間を過ごすことができます。","神社, 庭園, 温泉"
歩道のインターチェンジ,34.16214,132.83948,https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B5_%E6%AD%A9%E9%81%93%E3%81%AEIC.png,"このスポットは、地域の魅力を存分に感じることができる場所です。
歴史や自然に触れながら、特別な時間を過ごすことができます。","絶景, 歴史"
奥の細道,34.16295,132.83888,https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B6_%E5%A5%A5%E3%81%AE%E7%B4%B0%E9%81%93.png,"このスポットは、地域の魅力を存分に感じることができる場所です。
歴史や自然に触れながら、特別な時間を過ごすことができます。","温泉, 絶景, 歴史"
鄙びた井戸,34.16216,132.83961,https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B7_%E9%84%99%E3%81%B2%E3%82%99%E3%81%9F%E4%BA%95%E6%88%B8.png,"このスポットは、地域の魅力を存分に感じることができる場所です。
歴史や自然に触れながら、特別な時間を過ごすことができます。","グルメ, 絶景"
屋根付きの井戸,34.16173,132.84005,https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B8_%E5%B1%8B%E6%A0%B9%E4%BB%98%E3%81%8D%E3%81%AE%E4%BA%95%E6%88%B8.png,"このスポットは、地域の魅力を存分に感じることができる場所です。
歴史や自然に触れながら、特別な時間を過ごすことができます。","神社, 温泉, 庭園"
